կարապետ,2508
տարած,1985
արգելում,1879
գնաց,1704
վասն,1281
արձակում,1189
փակում,1083
ասեմ,865
նորին,765
գրիմ,716
հարում,693
կեսար,602
ասլան,377
թոռն,340
տասն,283
թաղի,270
ամանոր,261
ընկալիչ,219
փոխանակ,192
որդան,183
անկումն,168
կարծեմ,153
կարկառ,119
նշող,114
երկն,100
թողում,97
դրունք,66
դանգ,64
կալում,60
զարթնում,59
ծծում,53
լիզում,52
կրծում,47
խաշխաշ,46
լուծանք,46
հունձք,41
նոցա,40
կայծակն,37
աճառ,34
ծաղկուտ,29
զինչ,26
չորք,20
շահապ,20
հասանել,20
քերծում,18
բաստ,18
քնին,17
փոլատ,17
զբաղել,16
զկնի,14
ցանգ,14
հեղում,14
սոքա,13
սեպհական,13
տեսանել,11
սանտր,10
դիզում,9
որիզ,9
հոյն,9
ամարանոց,8
կիզում,8
հրամատար,8
գիտել,8
ոլոռն,7
զենում,7
ցելում,7
գետառու,7
թատր,7
սանդուխք,7
նոքա,7
կենդան,6
գինտ,6
խնում,6
բոկիկ,6
զիգն,5
դոցա,5
դոքա,5
հողմն,4
գերծում,4
գելում,4
ղանոն,4
այլուստ,4
ոսպն,4
բաղանիք,4
ծղխնի,4
ելանել,4
առբերել,4
հատանել,4
անգուժատ,3
երկոքին,3
ծմել,3
ծունր,3
սպահ,3
տումար,3
սիմինդր,3
եղիճ,3
լնուլ,3
հեղուլ,3
դարիճենիկ,3
լուծանել,3
մածնուլ,3
սպանանել,3
գելուլ,3
խարբուզակ,2
ծղրիթ,2
սատապ,2
բերանոց,2
թոնձ,2
իշացուլ,2
զանկ,2
խանդալ,2
կալնում,2
հեղձում,2
տեարք,2
ուռն,2
ցնոր,2
լախուր,2
տարգալ,2
բդեաշխ,2
ձմերային,2
իբրու,2
կուղպակ,2
կաշառ,2
թամբատակ,2
ծիծեռն,2
հարցանել,2
ամպաճ,2
ցելել,2
զգենուլ,2
ընթեռնուլ,2
մածանել,2
շիթել,2
ցելուլ,2
թնդել,1
ցանցորդ,1
ժողվենի,1
թքնուլ,1
գառագիղ,1
որդունք,1
դղքի,1
աալուսան,1
այալուսան,1
զերծանել,1
կակաջ,1
բարբուզան,1
իշխանայք,1
վիժակ,1
բողբուճ,1
ագանիմ,1
տտուն,1
բաղձ,1
երկնուստ,1
յանց,1
սկնդուկ,1
սմպատակ,1
ամարայնի,1
տուտն,1
տիտեռն,1
այրիկ,1
զեղծանել,1
խոնաստան,1
խարբուզ,1
երագազ,1
նշդարենի,1
կոծոխուր,1
ծառագոթի,1
տառատոկ,1
բացուստ,1
կճիճ,1
վարսք,1
որեար,1
շճուկ,1
ռնգունք,1
պիտոյք,1
նշդարի,1
կերպարան,1
հետահան,1
բոլորեքին,1
կարշն,1
ամբաստան,1
հեթեթանք,1
գազաղ,1
զիղջ,1
զգածել,1
կռիչ,1
պայիկ,1
մետասան,1
խարակել,1
թքանել,1
դիզանալ,1
ելուզանել,1
երեկանալ,1
վախճանել,1
կիզանել,1
խլրտել,1
զարթել,1
լքանել,1
լեզուլ,1
զեղուլ,1
զենուլ,1
լքանալ,1
զատանել,1
դիզանել,1
լիզանել,1
սկսանել,1
մրմռալ,1
հագանել,1
զարթչել,1
խնուլ,1
երևել,1
վայթել,1
ըղձանալ,1
գրգալ,1
ուռենալ,1
մերձել,1
enable,1
