меня,7787927,PRONOUN,
себя,4453721,PRONOUN,
него,3567164,PRONOUN,
время,3383365,NOUN,SINGULAR
которые,3154138,PRONOUN,
тебя,3069948,PRONOUN,
себе,3063301,PRONOUN,PARTICLE,
того,3010326,DETERMINER,PRONOUN,INTERJECTION,
который,2726860,PRONOUN,
жизни,2504081,NOUN,SINGULAR
тебе,2484461,PRONOUN,
ничего,2374267,PRONOUN,ADJECTIVE,INTERJECTION,
этом,2309722,DETERMINER,PRONOUN,
человек,2174321,NOUN,SINGULAR
людей,2042373,NOUN,PLURAL
этого,1943569,DETERMINER,PRONOUN,
глаза,1923917,NOUN,PLURAL
день,1855410,NOUN,VERB,IMP;INFLECTED_FORM;SINGULAR
года,1775114,NOUN,PLURAL
жизнь,1706877,NOUN,SINGULAR
люди,1604252,NOUN,PLURAL
собой,1583391,PRONOUN,
времени,1579999,NOUN,SINGULAR
руки,1480079,NOUN,PLURAL
которая,1447741,PRONOUN,
чего,1425926,PRONOUN,INTERJECTION,
дело,1424892,NOUN,VERB,SINGULAR
которых,1405420,PRONOUN,
которой,1386987,PRONOUN,
друг,1247267,NOUN,SINGULAR
слова,1236567,NOUN,PLURAL
случае,1222613,NOUN,SINGULAR
место,1188699,NOUN,SINGULAR
голову,1159729,NOUN,SINGULAR
руку,1141586,NOUN,SINGULAR
момент,1124549,NOUN,SINGULAR
образом,1087413,NOUN,SINGULAR
сторону,1043556,NOUN,SINGULAR
лицо,1042022,NOUN,SINGULAR
никто,987619,PRONOUN,
работы,986196,NOUN,SINGULAR
году,974173,NOUN,SINGULAR
мной,967914,PRONOUN,
вопрос,944511,NOUN,SINGULAR
стороны,937140,NOUN,PLURAL
всего,924320,DETERMINER,PRONOUN,ADVERB,
дверь,913114,NOUN,SINGULAR
часть,899373,NOUN,SINGULAR
голос,882103,NOUN,SINGULAR
которое,881472,PRONOUN,
дома,880698,ADVERB,NOUN,PLURAL
взгляд,873674,NOUN,SINGULAR
деньги,858721,NOUN,SINGULAR
которую,856251,PRONOUN,
ними,856014,PRONOUN,
тому,850231,DETERMINER,PRONOUN,NOUN,SINGULAR
деле,827654,NOUN,SINGULAR
месте,824309,NOUN,SINGULAR
детей,817461,NOUN,PLURAL
головой,811881,NOUN,SINGULAR
нему,780632,PRONOUN,
части,776496,NOUN,VERB,FORM_OF;IMP;INFLECTED_FORM;SINGULAR
лица,775502,NOUN,SINGULAR
права,773502,NOUN,ADJECTIVE,PLURAL
минут,751219,NOUN,VERB,PLURAL
дела,722249,NOUN,VERB,PLURAL
друга,720328,NOUN,SINGULAR
мира,711301,NOUN,SINGULAR
денег,710850,NOUN,SINGULAR
котором,700298,PRONOUN,
места,696819,NOUN,PLURAL
мысли,694760,VERB,NOUN,FORM_OF;IMP;INFLECTED_FORM;SINGULAR
ответ,684339,NOUN,SINGULAR
ноги,679064,NOUN,PLURAL
тобой,672108,PRONOUN,
сердце,661298,NOUN,SINGULAR
работу,655136,NOUN,SINGULAR
дней,649230,NOUN,PLURAL
тело,645338,NOUN,SINGULAR
всем,640365,DETERMINER,PRONOUN,ADVERB,
всех,638848,DETERMINER,PRONOUN,ADVERB,
силы,636920,NOUN,SINGULAR
слово,634063,NOUN,SINGULAR
кого,633990,PRONOUN,
пути,631031,NOUN,SINGULAR
воды,624166,NOUN,PLURAL
женщина,620491,NOUN,SINGULAR
отец,619350,NOUN,SINGULAR
системы,615601,NOUN,SINGULAR
рукой,607429,NOUN,SINGULAR
глазами,599990,NOUN,PLURAL
мире,599308,NOUN,SINGULAR
смерти,596366,NOUN,PLURAL
которым,586425,PRONOUN,
города,586228,NOUN,PLURAL
девушка,585810,NOUN,SINGULAR
власти,582984,NOUN,SINGULAR
